"","word","freq","prob"
"the end of the","the end of the",147,0.00126846610520503
"at the end of","at the end of",144,0.00124257904183349
"thanks for the follow","thanks for the follow",144,0.00124257904183349
"at the same time","at the same time",102,0.000880160154632059
"the rest of the","the rest of the",98,0.000845644070136684
"for the first time","for the first time",97,0.00083701504901284
"i dont want to","i dont want to",91,0.000785240922269778
"one of the most","one of the most",86,0.000742095816650559
"is one of the","is one of the",84,0.000724837774402872
"when it comes to","when it comes to",81,0.000698950711031341
"thanks for the rt","thanks for the rt",78,0.000673063647659809
"cant wait to see","cant wait to see",75,0.000647176584288278
"in the middle of","in the middle of",72,0.000621289520916747
"is going to be","is going to be",71,0.000612660499792903
"to be able to","to be able to",67,0.000578144415297529
"if you want to","if you want to",65,0.000560886373049841
"going to be a","going to be a",60,0.000517741267430623
"one of the best","one of the best",60,0.000517741267430623
"thank you so much","thank you so much",60,0.000517741267430623
"i would like to","i would like to",58,0.000500483225182935
"thank you for the","thank you for the",58,0.000500483225182935
"i would love to","i would love to",53,0.000457338119563717
"i cant wait to","i cant wait to",52,0.000448709098439873
"i was going to","i was going to",51,0.000440080077316029
"was one of the","was one of the",51,0.000440080077316029
"a bit of a","a bit of a",49,0.000422822035068342
"in front of the","in front of the",48,0.000414193013944498
"the top of the","the top of the",47,0.000405563992820654
"its going to be","its going to be",46,0.000396934971696811
"in the united states","in the united states",45,0.000388305950572967
"one of my favorite","one of my favorite",45,0.000388305950572967
"the middle of the","the middle of the",45,0.000388305950572967
"to go to the","to go to the",42,0.000362418887201436
"the bottom of the","the bottom of the",41,0.000353789866077592
"by the end of","by the end of",40,0.000345160844953748
"in the first place","in the first place",40,0.000345160844953748
"on the other hand","on the other hand",40,0.000345160844953748
"a lot of people","a lot of people",39,0.000336531823829905
"at the university of","at the university of",39,0.000336531823829905
"for the rest of","for the rest of",39,0.000336531823829905
"hope to see you","hope to see you",39,0.000336531823829905
"have a lot of","have a lot of",38,0.000327902802706061
"i dont know what","i dont know what",38,0.000327902802706061
"the first time in","the first time in",38,0.000327902802706061
"a member of the","a member of the",37,0.000319273781582217
"i am going to","i am going to",37,0.000319273781582217
"said in a statement","said in a statement",37,0.000319273781582217
"we are going to","we are going to",37,0.000319273781582217
"as much as i","as much as i",36,0.000310644760458374
"to be in the","to be in the",36,0.000310644760458374
"end of the day","end of the day",34,0.000293386718210686
"what do you think","what do you think",34,0.000293386718210686
"will be able to","will be able to",34,0.000293386718210686
